fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,fl_atipico,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO
20250701,20250701,1,G Premium,2025-01-12 00:00:00,35.985,2025-01-19 12:10:02,0,35.985,0.033,3dcd3239e2,83ae64708f
20250701,20250701,2,G Premium,2025-01-09 00:00:00,0,2025-01-16 12:10:02,0,0,0,2127ae39c1,fdb7133ee2
20250701,20250701,3,G Premium,2025-01-22 00:00:00,0.32607,2025-01-29 12:10:02,0,0.32607,0.00029,6ef1e6909e,9fc7ed4647
20250701,20250701,4,G Premium,2025-02-02 00:00:00,16.2148,2025-02-09 12:10:02,0,16.2148,2.6157,98feeeb363,335ac645f3
20250701,20250701,5,G Premium,2025-01-05 00:00:00,0,2025-01-12 12:10:01,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,6,G Premium,2025-01-06 00:00:00,0,2025-01-13 12:10:01,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,7,G Premium,2025-01-24 00:00:00,0,2025-01-31 12:10:02,0,0,0,2127ae39c1,fdb7133ee2
20250701,20250701,8,G Premium,2025-01-05 00:00:00,0.41415,2025-01-12 12:10:01,0,0.41415,0,6712a90afd,21f2e15b7a
20250701,20250701,9,G Premium,2025-01-06 00:00:00,0.0562,2025-01-13 12:10:01,0,0.0562,0,6712a90afd,21f2e15b7a
20250701,20250701,10,G Premium,2025-01-31 00:00:00,0.781,2025-02-07 12:10:02,0,0.781,0.01,ae79ee44db,1c8735200b
20250701,20250701,11,G Premium,2025-01-29 00:00:00,9.277,2025-02-05 12:10:02,0,9.277,0.05,3dcd3239e2,83ae64708f
20250701,20250701,12,G Premium,2025-01-22 00:00:00,0,2025-01-29 12:10:02,0,0,0,2127ae39c1,fdb7133ee2
20250701,20250701,13,G Premium,2025-01-30 00:00:00,0,2025-02-06 12:10:02,0,0,0,4fb94f5f59,2a0054029a
20250701,20250701,14,G Premium,2025-02-09 00:00:00,59.135,2025-02-16 12:10:02,0,59.135,1.885,4cf95d140f,6c0c0fb3aa
20250701,20250701,15,G Premium,2025-02-10 00:00:00,3.747,2025-02-17 12:10:01,0,3.747,0.091,8709d6cc57,40a28403d5
20250701,20250701,16,G Premium,2025-02-04 00:00:00,13.5511,2025-02-11 12:10:02,0,13.5511,2.3097,98feeeb363,335ac645f3
20250701,20250701,17,G Premium,2025-02-08 00:00:00,3.483,2025-02-15 12:10:01,0,3.483,0.035,aa1f2db9b4,bd9a626c4f
20250701,20250701,18,G Premium,2025-02-11 00:00:00,1.414,2025-02-18 12:10:02,0,1.414,0.01,ae79ee44db,1c8735200b
20250701,20250701,19,G Premium,2025-02-07 00:00:00,11.3827,2025-02-14 12:10:01,0,11.3827,2.2952,98feeeb363,335ac645f3
20250701,20250701,20,G Premium,2025-02-12 00:00:00,1.328,2025-02-19 12:10:02,0,1.328,0.01,ae79ee44db,1c8735200b
20250701,20250701,21,G Premium,2025-02-10 00:00:00,3.483,2025-02-17 12:10:01,0,3.483,0.035,aa1f2db9b4,bd9a626c4f
20250701,20250701,22,G Premium,2025-02-09 00:00:00,0,2025-02-16 12:10:02,0,0,0,4fb94f5f59,2a0054029a
20250701,20250701,23,G Premium,2025-02-26 00:00:00,0,2025-03-05 12:10:02,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,24,G Premium,2025-02-14 00:00:00,29.218,2025-02-21 12:10:02,0,29.218,0.05,3dcd3239e2,83ae64708f
20250701,20250701,25,G Premium,2025-03-01 00:00:00,0,2025-03-08 12:10:02,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,26,G Premium,2025-02-07 00:00:00,28.17322,2025-02-14 12:10:01,0,28.17322,0.31319,88e7fc29c2,55376407d5
20250701,20250701,27,G Premium,2025-02-09 00:00:00,2.511,2025-02-16 12:10:02,0,2.511,0.004,7f4a492646,40a396d3e7
20250701,20250701,28,G Premium,2025-02-08 00:00:00,203.114,2025-02-15 12:10:01,0,203.114,27.071,aef48fddb6,7cf5cc2019
20250701,20250701,29,G Premium,2025-01-05 00:00:00,28.025,2025-01-12 12:10:01,0,28.025,11.791,f031034954,f187d23508
20250701,20250701,30,G Premium,2025-01-06 00:00:00,40.827,2025-01-13 12:10:01,0,40.827,1.885,4cf95d140f,6c0c0fb3aa
20250701,20250701,31,G Premium,2025-01-07 00:00:00,0,2025-01-14 12:10:01,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,32,G Premium,2025-01-12 00:00:00,0,2025-01-19 12:10:02,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,33,G Premium,2025-01-06 00:00:00,15.5367,2025-01-13 12:10:01,0,15.5367,2.4399,98feeeb363,335ac645f3
20250701,20250701,34,G Premium,2025-01-01 00:00:00,0,2025-01-08 12:10:02,0,0,0,4fb94f5f59,2a0054029a
20250701,20250701,35,G Premium,2025-01-07 00:00:00,1.114,2025-01-14 12:10:01,0,1.114,0.01,ae79ee44db,1c8735200b
20250701,20250701,36,G Premium,2025-01-22 00:00:00,0,2025-01-29 12:10:02,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,37,G Premium,2025-01-15 00:00:00,47.422,2025-01-22 12:10:02,0,47.422,13.002,f031034954,f187d23508
20250701,20250701,38,G Premium,2025-01-12 00:00:00,0.59,2025-01-19 12:10:02,0,0.59,0.10858,e90944ccc2,ac27e8b233
20250701,20250701,39,G Premium,2025-01-01 00:00:00,1.791,2025-01-08 12:10:02,0,1.791,0.004,7f4a492646,40a396d3e7
20250701,20250701,40,G Premium,2025-01-30 00:00:00,2.573,2025-02-06 12:10:02,0,2.573,0.004,7f4a492646,40a396d3e7
20250701,20250701,41,G Premium,2025-01-26 00:00:00,5.17366,2025-02-02 12:10:05,0,5.17366,0.31319,88e7fc29c2,55376407d5
20250701,20250701,42,G Premium,2025-01-09 00:00:00,3.71084,2025-01-16 12:10:02,0,3.71084,0.31319,88e7fc29c2,55376407d5
20250701,20250701,43,G Premium,2025-01-29 00:00:00,0.41,2025-02-05 12:10:02,0,0.41,0.10858,e90944ccc2,ac27e8b233
20250701,20250701,44,G Premium,2025-01-30 00:00:00,11.691,2025-02-06 12:10:02,0,11.691,0.242,b7c0f5e3b5,693e66b85d
20250701,20250701,45,G Premium,2025-02-13 00:00:00,0.959,2025-02-20 12:10:02,0,0.959,0.01,ae79ee44db,1c8735200b
20250701,20250701,46,G Premium,2025-02-09 00:00:00,8.977,2025-02-16 12:10:02,0,8.977,0.243,b7c0f5e3b5,693e66b85d
20250701,20250701,47,G Premium,2025-02-11 00:00:00,0,2025-02-18 12:10:02,0,0,0,7af60c0b21,ad3d0cc25f
20250701,20250701,48,G Premium,2025-02-10 00:00:00,230.588,2025-02-17 12:10:01,0,230.588,27.071,aef48fddb6,7cf5cc2019
20250701,20250701,49,G Premium,2025-02-12 00:00:00,0,2025-02-19 12:10:02,0,0,0,7af60c0b21,ad3d0cc25f
20250701,20250701,50,G Premium,2025-02-08 00:00:00,50.566,2025-02-15 12:10:01,0,50.566,1.885,4cf95d140f,6c0c0fb3aa
20250701,20250701,51,G Premium,2025-02-09 00:00:00,45.043,2025-02-16 12:10:02,0,45.043,14.124,f031034954,f187d23508
20250701,20250701,52,G Premium,2025-02-26 00:00:00,0.3208,2025-03-05 12:10:02,0,0.3208,0,6712a90afd,21f2e15b7a
20250701,20250701,53,G Premium,2025-03-03 00:00:00,0,2025-03-10 12:10:02,0,0,0,13c3a19c48,0af6a53b9b
20250701,20250701,54,G Premium,2025-02-11 00:00:00,3.408,2025-02-18 12:10:02,0,3.408,0.091,8709d6cc57,40a28403d5
20250701,20250701,55,G Premium,2025-02-08 00:00:00,0,2025-02-15 12:10:01,0,0,0,4fb94f5f59,2a0054029a
20250701,20250701,56,G Premium,2025-02-12 00:00:00,4.043,2025-02-19 12:10:02,0,4.043,0.091,8709d6cc57,40a28403d5
20250701,20250701,57,G Premium,2025-01-07 00:00:00,0.0503,2025-01-14 12:10:01,0,0.0503,0,6712a90afd,21f2e15b7a
20250701,20250701,58,G Premium,2025-01-12 00:00:00,0.3669,2025-01-19 12:10:02,0,0.3669,0,6712a90afd,21f2e15b7a
20250701,20250701,59,G Premium,2025-01-06 00:00:00,0,2025-01-13 12:10:01,0,0,0,4fb94f5f59,2a0054029a
20250701,20250701,60,G Premium,2025-01-13 00:00:00,0.59,2025-01-20 12:10:02,0,0.59,0.10858,e90944ccc2,ac27e8b233
20250701,20250701,61,G Premium,2025-01-01 00:00:00,8.588,2025-01-08 12:10:02,0,8.588,0.243,b7c0f5e3b5,693e66b85d
20250701,20250701,62,G Premium,2025-01-17 00:00:00,0.747,2025-01-24 12:10:02,0,0.747,0.01,ae79ee44db,1c8735200b
20250701,20250701,63,G Premium,2025-01-07 00:00:00,0,2025-01-14 12:10:01,0,0,0,7af60c0b21,ad3d0cc25f
20250701,20250701,64,G Premium,2025-01-01 00:00:00,30.74,2025-01-08 12:10:02,0,30.74,11.791,f031034954,f187d23508
20250701,20250701,65,G Premium,2025-01-12 00:00:00,1.34,2025-01-19 12:10:02,0,1.34,0.01,ae79ee44db,1c8735200b
