producto,fecha_emision,fecha_corte,fe_inventario,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb
G Premium,20250701,20250701,2025-01-12 00:00:00,2025-01-19 12:10:02,35.985,0.033,3dcd3239e2,83ae64708f,35.985
G Premium,20250701,20250701,2025-01-09 00:00:00,2025-01-16 12:10:02,0.0,0.0,2127ae39c1,fdb7133ee2,0.0
G Premium,20250701,20250701,2025-01-22 00:00:00,2025-01-29 12:10:02,0.32607,0.00029,6ef1e6909e,9fc7ed4647,0.32607
G Premium,20250701,20250701,2025-02-02 00:00:00,2025-02-09 12:10:02,16.2148,2.6157,98feeeb363,335ac645f3,16.2148
G Premium,20250701,20250701,2025-01-05 00:00:00,2025-01-12 12:10:01,0.0,0.0,13c3a19c48,0af6a53b9b,0.0
G Premium,20250701,20250701,2025-01-06 00:00:00,2025-01-13 12:10:01,0.0,0.0,13c3a19c48,0af6a53b9b,0.0
G Premium,20250701,20250701,2025-01-24 00:00:00,2025-01-31 12:10:02,0.0,0.0,2127ae39c1,fdb7133ee2,0.0
G Premium,20250701,20250701,2025-01-05 00:00:00,2025-01-12 12:10:01,0.41415,0.0,6712a90afd,21f2e15b7a,0.41415
G Premium,20250701,20250701,2025-01-06 00:00:00,2025-01-13 12:10:01,0.0562,0.0,6712a90afd,21f2e15b7a,0.0562
G Premium,20250701,20250701,2025-01-31 00:00:00,2025-02-07 12:10:02,0.781,0.01,ae79ee44db,1c8735200b,0.781
G Premium,20250701,20250701,2025-01-29 00:00:00,2025-02-05 12:10:02,9.277,0.05,3dcd3239e2,83ae64708f,9.277
G Premium,20250701,20250701,2025-01-22 00:00:00,2025-01-29 12:10:02,0.0,0.0,2127ae39c1,fdb7133ee2,0.0
G Premium,20250701,20250701,2025-01-30 00:00:00,2025-02-06 12:10:02,0.0,0.0,4fb94f5f59,2a0054029a,0.0
G Premium,20250701,20250701,2025-02-09 00:00:00,2025-02-16 12:10:02,59.135,1.885,4cf95d140f,6c0c0fb3aa,59.135
G Premium,20250701,20250701,2025-02-10 00:00:00,2025-02-17 12:10:01,3.747,0.091,8709d6cc57,40a28403d5,3.747
G Premium,20250701,20250701,2025-02-04 00:00:00,2025-02-11 12:10:02,13.5511,2.3097,98feeeb363,335ac645f3,13.5511
