,cantidad_mb,cantidad_mb,cantidad_mb,cantidad_mb,cantidad_mb,vlmen_fndo_ttal,vlmen_fndo_ttal,vlmen_fndo_ttal,vlmen_fndo_ttal,vlmen_fndo_ttal
,mean,median,std,min,max,mean,median,std,min,max
producto,,,,,,,,,,
Diesel,103.099,34.73,151.575,0.0,825.758,9.012,2.105,21.17,0.0,517.898
G Premium,25.084,3.01,61.382,0.0,446.706,3.129,0.035,9.195,0.0,56.023
G Regular,28.286,7.482,46.88,0.0,269.724,2.633,0.15,7.648,0.0,48.608
G84,1.21,0.0,3.174,0.0,17.649,0.046,0.0,0.165,0.0,1.424
G90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,56.591,9.552,134.871,0.03,1563.236,0.0,0.0,0.0,0.0,0.0
PI6,12.327,0.0,25.182,0.0,105.392,1.139,0.0,2.839,0.0,10.768
TA1,19.46,1.034,31.574,0.0,132.422,3.473,0.012,6.707,0.0,20.423
